Line #,Process,Commit Stack,Commit Time (s),Decommit Time (s),Address,Count,Impacting Size (MB),Size (MB)
1,xenon_client.exe (52848),,,,,75129,"6,828.066","22,232.152"
2,,[Root]/?!?/kernel32.dll!CreateProcessWStub/KernelBase.dll!CreateProcessW/KernelBase.dll!CreateProcessInternalW/ntdll.dll!ZwCreateUserProcess/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtCreateUserProcess/ntoskrnl.exe!PspAllocateThread/ntoskrnl.exe!PspSetupUserStack/ntoskrnl.exe!RtlCreateUserStack/ntoskrnl.exe!KiServiceLinkage/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,2.850467700,"9,223,372,036.854775807",0x00000032D83DF000,1,0.004,0.004
92,,[Root]/ntdll.dll!LdrInitializeThunk/ntdll.dll!LdrpInitializeInternal/ntdll.dll!_LdrpInitialize/ntdll.dll!LdrpInitializeProcess/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeNode/ntdll.dll!LdrpCallInitRoutine/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/kernel32.dll!CreateThreadStub/KernelBase.dll!CreateRemoteThreadEx/ntdll.dll!ZwCreateThreadEx/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtCreateThreadEx/ntoskrnl.exe!PspCreateThread/ntoskrnl.exe!PspAllocateThread/ntoskrnl.exe!PspSetupUserStack/ntoskrnl.exe!RtlCreateUserStack/ntoskrnl.exe!KiServiceLinkage/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,3.393410800,"9,223,372,036.854775807",0x00000032D8BFC000,1,0.012,0.012
182,,[Root]/ntdll.dll!LdrInitializeThunk/ntdll.dll!LdrpInitializeInternal/ntdll.dll!_LdrpInitialize/ntdll.dll!LdrpInitializeProcess/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeGraphRecurse/ntdll.dll!LdrpInitializeNode/ntdll.dll!LdrpCallInitRoutine/D3DCompiler_47.dll!dllmain_dispatch/D3DCompiler_47.dll!DllMain/D3DCompiler_47.dll!InitAllReplaceGroups/D3DCompiler_47.dll!InitReplaceGroupHash/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,3.409454400,"9,223,372,036.854775807",0x00000173433A7000,1,0.012,0.012
272,,[Root]/ntdll.dll!LdrInitializeThunk/ntdll.dll!LdrpInitializeInternal/ntdll.dll!_LdrpInitialize/ntdll.dll!LdrpInitializeThread/ntoskrnl.exe!KiPageFault/ntoskrnl.exe!MmAccessFault/ntoskrnl.exe!MiUserFault/ntoskrnl.exe!MiCheckForUserStackOverflow/ntoskrnl.exe!KiServiceLinkage/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,3.434333100,"9,223,372,036.854775807",0x00000032D8DFB000,1,0.004,0.004
362,,"[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/dbghelp.dll!SymInitialize/dbghelp.dll!SymInitializeW/dbghelp.dll!GetProcessModules/dbghelp.dll!GetModule/dbghelp.dll!LoadModule/dbghelp.dll!modload/dbghelp.dll!modloadWorker/dbghelp.dll!GetDebugData/dbghelp.dll!diaGetPdb/dbghelp.dll!CDiaDataSource::openSession/dbghelp.dll!CDiaSession::FInit/dbghelp.dll!SymCache::fInit/dbghelp.dll!PDB1::OpenDBIEx/dbghelp.dll!DBI1::fInit/dbghelp.dll!DBI1::reloadFileInfo/dbghelp.dll!DBI1::addFileInfo/dbghelp.dll!NMT::addNiForSz/dbghelp.dll!NMT::rehash/dbghelp.dll!operator new/dbghelp.dll!operator new/ucrtbase.dll!__crt_state_management::wrapped_invoke<void * ptr64 (cdecl*)(unsigned __int64),unsigned __int64,void * ptr64>/ucrtbase.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory",3.442456900,"9,223,372,036.854775807",0x0000017346B49000,1,0.008,0.008
452,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/dbghelp.dll!SymInitialize/dbghelp.dll!SymInitializeW/dbghelp.dll!GetProcessModules/dbghelp.dll!GetModule/dbghelp.dll!LoadModule/dbghelp.dll!modload/dbghelp.dll!modloadWorker/dbghelp.dll!idd2me/dbghelp.dll!LoadExportSymbols/dbghelp.dll!seCreateSymbolTable/dbghelp.dll!pMemAlloc/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,3.451059300,"9,223,372,036.854775807",0x000001734702F000,1,0.648,0.648
542,,"[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/TracyClient.dll!<Missing ImageId event>/dbghelp.dll!SymInitialize/dbghelp.dll!SymInitializeW/dbghelp.dll!GetProcessModules/dbghelp.dll!GetModule/dbghelp.dll!LoadModule/dbghelp.dll!modload/dbghelp.dll!modloadWorker/dbghelp.dll!GetDebugData/dbghelp.dll!diaGetPdb/dbghelp.dll!CDiaDataSource::openSession/dbghelp.dll!CDiaSession::FInit/dbghelp.dll!SymCache::fInit/dbghelp.dll!PDB1::OpenDBIEx/dbghelp.dll!DBI1::fInit/dbghelp.dll!DBI1::reloadFileInfo/dbghelp.dll!DBI1::addFileInfo/dbghelp.dll!NMT::addNiForSz/dbghelp.dll!pdb_internal::Buffer::grow/dbghelp.dll!operator new/dbghelp.dll!operator new/ucrtbase.dll!__crt_state_management::wrapped_invoke<void * ptr64 (cdecl*)(unsigned __int64),unsigned __int64,void * ptr64>/ucrtbase.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory",3.479368300,"9,223,372,036.854775807",0x0000017347F1E000,1,0.109,0.109
632,,"[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::ClientFramework/chaos_client.dll!Chaos::ClientRoot::initializeEngine/chaos_client.dll!Chaos::ClientRoot::initializeLoggerSystem/chaos_base.dll!Chaos::LoggerSystem::LoggerSystem/chaos_base.dll!std::_Construct_in_place<spdlog::async_logger,char const *,std::_Vector_iterator<std::_Vector_val<std::_Simple_types<std::shared_ptr<spdlog::sinks::sink> > > >,std::_Vector_iterator<std::_Vector_val<std::_Simple_types<std::shared_ptr<spdlog::sinks::sink> > > >,unsigned __int64 const &,enum spdlog::async_overflow_policy,std::nullptr_t,std::chrono::duration<__int64,std::ratio<1,1> > >/chaos_base.dll!spdlog::details::async_log_helper::async_log_helper/chaos_base.dll!operator new/chaos_base.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpHpAllocVirtBlockCommitFirst/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory",3.488468100,3.488492300,0x000001734C602000,1,0.000,0.004
722,,[Root]/ntdll.dll!RtlUserThreadStart/kernel32.dll!BaseThreadInitThunk/xenon_client.exe!__scrt_common_main_seh/xenon_client.exe!main/xenon_client.exe!Chaos::ClientFramework::ClientFramework/chaos_client.dll!Chaos::ClientRoot::startEngine/chaos_common.dll!Chaos::registerAllSketumTypes/chaos_common.dll!Chaos::TypeInfoManager::registerType<Chaos::LoopDurationInfinite>/chaos_common.dll!Chaos::MemoryPool::internal::AllocateStaticPool::Invoke<Chaos::PoolDefault>/chaos_mempool.dll!Chaos::MemoryPool::DebugAllocator::Allocate/chaos_mempool.dll!_malloc_base/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpLowFragHeapAllocFromContext/ntdll.dll!RtlpAllocateUserBlock/ntdll.dll!RtlpAllocateUserBlockFromHeap/ntdll.dll!RtlpAllocateHeapInternal/ntdll.dll!RtlpAllocateHeap/ntdll.dll!RtlpExtendHeap/ntdll.dll!RtlpFindAndCommitPages/chaos_core.dll!Chaos::MemTrack::`anonymous namespace'::Hook_NtAllocateVirtualMemory/ntdll.dll!NtAllocateVirtualMemory/ntoskrnl.exe!KiSystemServiceCopyEnd/ntoskrnl.exe!NtAllocateVirtualMemory/ntoskrnl.exe!MiAllocateVirtualMemoryCommon/ntoskrnl.exe!MiAllocateVirtualMemory,3.494121300,"9,223,372,036.854775807",0x000001734C8E0000,1,0.035,0.035
